0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:20:33 +0900] "GET HTTP/1.1 " 400 -
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:20:39 +0900] "GET /index.jsp HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:20:39 +0900] "GET /resources/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:20:39 +0900] "GET /resources/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:20:39 +0900] "GET /resources/images/main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:20:39 +0900] "GET /resources/images/headerlogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:20:39 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:20:48 +0900] "GET /login/login.do HTTP/1.1" 200 1915
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:20:49 +0900] "GET /login/login.do HTTP/1.1" 200 1915
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:20:49 +0900] "GET /login/memberloginform.do HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:20:55 +0900] "POST /login/memberlogin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:20:55 +0900] "GET / HTTP/1.1" 200 3803
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:21:00 +0900] "POST /hotel/searchhotel.do HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:21:00 +0900] "GET /resources/photo/f31d1be115ca41d1826fce89b0796f56.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:21:00 +0900] "GET /resources/photo/582979c0d70746b295c270193594de2c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:21:00 +0900] "GET /resources/photo/cc1a39f0917d47dca5741164e63d0a23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:21:00 +0900] "GET /resources/photo/6d572faacdce41a1be8a38ca08655c26.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:21:01 +0900] "GET /hotel/detail.do?name=%EC%BB%B4%ED%8D%BC%EB%8B%88%ED%98%B8%ED%85%94 HTTP/1.1" 200 7094
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:21:02 +0900] "GET /resources/photo/a6e45462f93d43b29a08ab016ebde817.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2017:11:21:02 +0900] "GET /resources/photo/1a0dcabecff048a8b0789e2c283ec141.jpg HTTP/1.1" 304 -
