0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:40:56 +0900] "GET HTTP/1.1 " 400 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:40:59 +0900] "GET /Lecture-Web/test.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:41:13 +0900] "GET /Lecture-Web/test.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:41:13 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:41:47 +0900] "GET /Lecture-Web/test.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:41:47 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:42:02 +0900] "GET /reserve/reserveform.do?y=2017&m=2&hotelName=%EC%BB%B4%ED%8D%BC%EB%8B%88%ED%98%B8%ED%85%94 HTTP/1.1" 200 91007
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:42:02 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:42:02 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:42:02 +0900] "GET /resources/images/headerlogo.jpg HTTP/1.1" 200 28595
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:42:02 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:42:08 +0900] "GET /reserve/reserveform.do?y=2017&m=2&hotelName=%EC%BB%B4%ED%8D%BC%EB%8B%88%ED%98%B8%ED%85%94 HTTP/1.1" 200 91007
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:42:08 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:42:08 +0900] "GET /resources/images/headerlogo.jpg HTTP/1.1" 200 28595
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:42:08 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [17/Feb/2017:08:42:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
