127.0.0.1 - - [16/Feb/2017:14:39:48 +0900] "GET HTTP/1.1 " 400 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:14:39:51 +0900] "GET /jspProject/Test/Test1.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [16/Feb/2017:14:39:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Feb/2017:14:40:38 +0900] "GET /jspProject/Test/Test1.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [16/Feb/2017:14:40:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Feb/2017:14:41:05 +0900] "GET /jspProject/Test/Test1.jsp HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [16/Feb/2017:14:41:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Feb/2017:14:41:17 +0900] "GET /jspProject/Test/Test1.jsp HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [16/Feb/2017:14:41:17 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:13:40 +0900] "GET HTTP/1.1 " 400 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:13:43 +0900] "GET /Lecture-Web/test.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:13:51 +0900] "GET /Lecture-Web/test.jsp HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:13:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:14:53 +0900] "GET /Lecture-Web/test.jsp HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:14 +0900] "GET /index.jsp HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:14 +0900] "GET /resources/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:14 +0900] "GET /resources/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:14 +0900] "GET /resources/images/headerlogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:14 +0900] "GET /resources/images/main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:16 +0900] "GET /login/login.do HTTP/1.1" 200 1915
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:16 +0900] "GET /login/memberloginform.do HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:21 +0900] "POST /login/memberlogin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:21 +0900] "GET / HTTP/1.1" 200 3803
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:26 +0900] "POST /hotel/searchhotel.do HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:26 +0900] "GET /resources/photo/582979c0d70746b295c270193594de2c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:26 +0900] "GET /resources/photo/6d572faacdce41a1be8a38ca08655c26.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:26 +0900] "GET /resources/photo/f31d1be115ca41d1826fce89b0796f56.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:26 +0900] "GET /resources/photo/cc1a39f0917d47dca5741164e63d0a23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:29 +0900] "GET /hotel/detail.do?name=%EC%BB%B4%ED%8D%BC%EB%8B%88%ED%98%B8%ED%85%94 HTTP/1.1" 200 7094
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:29 +0900] "GET /resources/photo/1a0dcabecff048a8b0789e2c283ec141.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:29 +0900] "GET /resources/photo/ec754c44f48743e08d62b1b9225b5ed3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:29 +0900] "GET /resources/photo/a6e45462f93d43b29a08ab016ebde817.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:29 +0900] "GET /resources/photo/cb2bc64a8e734197b5466ad268d08c2f.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:15:32 +0900] "POST /reserve/reserveform.do HTTP/1.1" 500 6308
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:16:06 +0900] "GET /hotel/detail.do?name=%EC%BB%B4%ED%8D%BC%EB%8B%88%ED%98%B8%ED%85%94 HTTP/1.1" 200 7094
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:16:06 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:16:06 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:16:07 +0900] "GET /resources/photo/a6e45462f93d43b29a08ab016ebde817.jpg HTTP/1.1" 200 295097
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:16:07 +0900] "GET /resources/images/headerlogo.jpg HTTP/1.1" 200 28595
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:16:07 +0900] "GET /resources/photo/cb2bc64a8e734197b5466ad268d08c2f.jpg HTTP/1.1" 200 17604
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:16:07 +0900] "GET /resources/photo/cc1a39f0917d47dca5741164e63d0a23.jpg HTTP/1.1" 200 557218
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:16:07 +0900] "GET /resources/photo/1a0dcabecff048a8b0789e2c283ec141.jpg HTTP/1.1" 200 12758
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:16:07 +0900] "GET /resources/photo/ec754c44f48743e08d62b1b9225b5ed3.jpg HTTP/1.1" 200 45352
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:16:07 +0900] "GET /resources/images/button.gif HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:16:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:16:09 +0900] "POST /reserve/reserveform.do HTTP/1.1" 500 6433
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:22:07 +0900] "GET HTTP/1.1 " 400 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:22:09 +0900] "GET /Lecture-Web/test.jsp HTTP/1.1" 500 4270
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:22:23 +0900] "POST /reserve/reserveform.do HTTP/1.1" 500 6433
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:22:23 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:22:32 +0900] "GET /Lecture-Web/test.jsp HTTP/1.1" 500 6422
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:23:47 +0900] "POST /reserve/reserveform.do HTTP/1.1" 500 5280
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:23:47 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:24:05 +0900] "POST /reserve/reserveform.do HTTP/1.1" 500 8977
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:24:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:27:30 +0900] "GET HTTP/1.1 " 400 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:16:27:33 +0900] "GET /Lecture-Web/test.jsp HTTP/1.1" 200 277
